,links,movie,cert,rateoc,rateou
0,the-godfather,The Godfather,R,100,9.2
1,citizen-kane,Citizen Kane,Approved,100,8.4
2,rear-window,Rear Window,TV-G,100,8.8
3,casablanca,Casablanca,TV-PG,100,8.9
4,boyhood,Boyhood,R,100,7.4
5,three-colors-red,Three Colors: Red,R,100,8.6
6,vertigo,Vertigo,PG,100,8.7
7,notorious-1946,Notorious,Approved,100,8.0
8,singin-in-the-rain,Singin' in the Rain,G,99,8.7
9,city-lights,City Lights,Passed,99,9.0
10,moonlight-2016,Moonlight,Not Rated,99,7.1
11,intolerance,Intolerance,Not Rated,99,7.4
12,pinocchio-1940,Pinocchio,Passed,99,8.1
13,touch-of-evil,Touch of Evil,PG-13,99,8.5
14,the-lady-vanishes-1938,The Lady Vanishes,Approved,98,8.4
15,the-treasure-of-the-sierra-madre,The Treasure of the Sierra Madre,TV-PG,98,8.5
16,pans-labyrinth,Pan's Labyrinth,R,98,8.7
17,some-like-it-hot,Some Like It Hot,Approved,98,8.4
18,north-by-northwest,North by Northwest,TV-G,98,8.2
19,hoop-dreams,Hoop Dreams,PG-13,98,8.0
20,rashomon,Rashomon,Not Rated,98,8.6
21,all-about-eve,All About Eve,TV-PG,98,8.8
22,jules-and-jim,Jules and Jim,Not Rated,97,6.8
23,the-wild-bunch,The Wild Bunch,R,97,7.6
24,my-left-foot,My Left Foot,R,97,8.4
25,the-third-man,The Third Man,Approved,97,8.5
26,dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,GP,97,8.4
27,quo-vadis-aida,"Quo Vadis, Aida?",Approved,97,8.2
28,gone-with-the-wind,Gone with the Wind,TV-PG,97,8.3
29,4-months-3-weeks-and-2-days,"4 Months, 3 Weeks and 2 Days",Not Rated,97,7.9
30,psycho-1960,Psycho,M,97,9.0
31,battleship-potemkin,Battleship Potemkin,Not Rated,97,8.6
32,a-streetcar-named-desire,A Streetcar Named Desire,M/PG,97,8.4
33,the-maltese-falcon,The Maltese Falcon,TV-PG,97,8.1
34,american-graffiti,American Graffiti,PG,97,7.6
35,dumbo-1941,Dumbo,Approved,96,7.6
36,roma,Roma,Not Rated,96,7.7
37,parasite,Parasite,Not Rated,96,8.7
38,ran,Ran,R,96,8.4
39,summer-of-soul-or-when-the-revolution-could-not-be-televised,"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",Not Rated,96,7.3
40,the-shop-around-the-corner,The Shop Around the Corner,Passed,96,7.1
41,12-angry-men,12 Angry Men,TV-PG,96,9.0
42,rosemarys-baby,Rosemary's Baby,Approved,96,8.2
43,12-years-a-slave,12 Years a Slave,R,96,8.0
44,manchester-by-the-sea,Manchester by the Sea,R,96,8.2
45,killer-of-sheep,Killer of Sheep,Not Rated,96,7.0
46,nashville,Nashville,R,96,8.6
47,ratatouille,Ratatouille,G,96,8.6
48,the-grapes-of-wrath,The Grapes of Wrath,Approved,96,8.7
49,children-of-paradise,Children of Paradise (1945),Not Rated,96,8.1
50,mean-streets,Mean Streets,R,96,7.4
51,sansho-the-bailiff,Sansho the Bailiff,Not Rated,96,tbd
52,the-lady-eve,The Lady Eve,Passed,96,7.5
53,gravity,Gravity,PG-13,96,7.8
54,fantasia,Fantasia,Approved,96,8.3
55,spirited-away,Spirited Away,PG,96,9.0
56,beauty-and-the-beast-1991,Beauty and the Beast,G,95,8.5
57,lovers-rock,Small Axe: Lovers Rock,Not Rated,95,6.2
58,toy-story,Toy Story,TV-G,95,8.8
59,the-bride-of-frankenstein,The Bride of Frankenstein,TV-PG,95,8.4
60,dont-look-now,Don't Look Now,R,95,7.1
61,the-social-network,The Social Network,PG-13,95,8.2
62,my-fair-lady,My Fair Lady,G,95,7.7
63,portrait-of-a-lady-on-fire,Portrait of a Lady on Fire,R,95,8.6
64,i-am-not-your-negro,I Am Not Your Negro,PG-13,95,5.3
65,woodstock-1970,Woodstock,R,95,tbd
66,double-indemnity,Double Indemnity,Passed,95,8.5
67,rocks,Rocks,TV-MA,95,6.9
68,snow-white-and-the-seven-dwarfs,Snow White and the Seven Dwarfs,G,95,8.2
69,the-hurt-locker,The Hurt Locker,R,95,7.3
70,anatomy-of-a-murder,Anatomy of a Murder,TV-PG,95,8.3
71,zero-dark-thirty,Zero Dark Thirty,R,95,6.9
72,collective,Collective,Not Rated,95,8.0
73,a-separation,A Separation,PG-13,95,8.8
74,wall-e,WALL-E,G,95,8.8
75,carol,Carol,R,94,8.0
76,before-midnight,Before Midnight,R,94,8.3
77,amour,Amour,PG-13,94,8.1
78,dunkirk,Dunkirk,PG-13,94,8.3
79,the-man-who-shot-liberty-valance,The Man Who Shot Liberty Valance,Approved,94,8.6
80,the-searchers,The Searchers,Passed,94,7.5
81,45-years,45 Years,Not Rated,94,7.3
82,taxi-driver,Taxi Driver,R,94,7.6
83,the-servant,The Servant,Unrated,94,7.9
84,pulp-fiction,Pulp Fiction,R,94,9.0
85,the-manchurian-candidate-1962,The Manchurian Candidate,Approved,94,8.1
86,mr-turner,Mr. Turner,R,94,6.9
87,the-irishman,The Irishman,R,94,8.1
88,amazing-grace-1972,Amazing Grace,Not Rated,94,8.5
89,grave-of-the-fireflies,Grave of the Fireflies (1988),TV-14,94,9.0
90,the-wild-child,The Wild Child,G,94,tbd
91,shadow-of-a-doubt,Shadow of a Doubt,TV-PG,94,8.5
92,inside-out-2015,Inside Out,PG,94,8.7
93,sideways,Sideways,R,94,7.0
94,schindlers-list,Schindler's List,R,94,8.8
95,meet-me-in-st-louis,Meet Me in St. Louis,Passed,94,7.1
96,the-apartment,The Apartment,TV-PG,94,8.7
97,apocalypse-now,Apocalypse Now,R,94,8.8
98,petite-maman,Petite Maman,Not Rated,94,7.6
99,the-gunfighter,The Gunfighter,TV-PG,94,7.4
100,we-were-here,We Were Here,Not Rated,94,6.9
101,faces-places,Faces Places,Not Rated,94,6.9
102,chimes-at-midnight,Chimes at Midnight,Not Rated,94,tbd
103,the-lord-of-the-rings-the-return-of-the-king,The Lord of the Rings: The Return of the King,PG-13,94,8.9
104,carlos,Carlos,Not Rated,94,7.9
105,marriage-story,Marriage Story,R,94,8.1
106,the-french-connection,The French Connection,R,94,8.4
107,la-la-land,La La Land,PG-13,94,8.4
108,crouching-tiger-hidden-dragon,"Crouching Tiger, Hidden Dragon",PG-13,94,8.1
109,nomadland,Nomadland,R,93,7.2
110,call-me-by-your-name,Call Me by Your Name,R,93,8.0
111,the-magnificent-ambersons,The Magnificent Ambersons,TV-PG,93,8.6
112,reversal-of-fortune,Reversal of Fortune,R,93,8.1
113,american-utopia,David Byrne’s American Utopia,Not Rated,93,7.4
114,lady-bird,Lady Bird,R,93,7.6
115,shoplifters,Shoplifters,Not Rated,93,8.3
116,shoah-four-sisters,Shoah: Four Sisters,Not Rated,93,tbd
117,the-39-steps,The 39 Steps,TV-G,93,7.9
118,duck-soup,Duck Soup,Passed,93,7.7
119,days-of-heaven,Days of Heaven,PG,93,8.4
120,toni-erdmann,Toni Erdmann,R,93,7.0
121,yi-yi,Yi Yi,Not Rated,93,8.5
122,mccabe-mrs-miller,McCabe & Mrs. Miller,R,93,7.6
123,the-best-years-of-our-lives,The Best Years of Our Lives,Passed,93,8.5
124,stagecoach,Stagecoach,TV-G,93,7.9
125,inside-llewyn-davis,Inside Llewyn Davis,R,93,7.8
126,sherpa,Sherpa,Not Rated,93,7.6
127,there-will-be-blood,There Will Be Blood,R,93,8.1
128,badlands,Badlands,PG,93,8.4
129,the-last-picture-show,The Last Picture Show,R,93,8.4
130,do-the-right-thing,Do the Right Thing,R,93,8.2
131,sita-sings-the-blues,Sita Sings the Blues,Not Rated,93,7.2
132,the-decline-of-western-civilization,The Decline of Western Civilization,Not Rated,93,7.0
133,yojimbo,Yojimbo,TV-MA,93,7.6
134,rio-bravo,Rio Bravo,Passed,93,7.9
135,brothers-keeper,Brother's Keeper,Not Rated,93,7.5
136,sankofa,Sankofa,Not Rated,93,tbd
137,crumb,Crumb,R,93,8.4
138,spotlight,Spotlight,R,93,8.2
139,the-band-wagon,The Band Wagon,Passed,93,tbd
140,one-more-time-with-feeling,One More Time with Feeling,Not Rated,92,8.7
141,the-diving-bell-and-the-butterfly,The Diving Bell and the Butterfly,PG-13,92,8.3
142,invasion-of-the-body-snatchers-1956,Invasion of the Body Snatchers,Approved,92,8.2
143,mr-bachmann-and-his-class,Mr. Bachmann and His Class,Not Rated,92,tbd
144,the-class,The Class,PG-13,92,7.4
145,platoon,Platoon,R,92,8.0
146,35-shots-of-rum,35 Shots of Rum,Not Rated,92,6.4
147,apocalypse-now-final-cut,Apocalypse Now: Final Cut,Not Rated,92,8.5
148,chinatown,Chinatown,R,92,8.9
149,the-florida-project,The Florida Project,Not Rated,92,7.4
150,timbuktu,Timbuktu,Not Rated,92,7.3
151,frenzy,Frenzy,TV-14,92,7.2
152,brief-encounter,Brief Encounter,Approved,92,7.6
153,cool-hand-luke,Cool Hand Luke,PG,92,8.6
154,little-women-1933,Little Women,Approved,92,5.3
155,maborosi,Maborosi,Not Rated,92,7.6
156,top-hat,Top Hat,TV-G,92,tbd
157,apocalypse-now-redux,Apocalypse Now Redux,R,92,8.7
158,never-rarely-sometimes-always,Never Rarely Sometimes Always,Not Rated,92,0.8
159,annie-hall,Annie Hall,PG,92,6.6
160,the-lord-of-the-rings-the-fellowship-of-the-ring,The Lord of the Rings: The Fellowship of the Ring,PG-13,92,9.1
161,quiz-show,Quiz Show,PG-13,92,8.5
162,leviathan-2014,Leviathan,Not Rated,92,7.3
163,werckmeister-harmonies,Werckmeister Harmonies,Not Rated,92,7.9
164,toy-story-3,Toy Story 3,G,92,8.9
165,this-is-spinal-tap,This Is Spinal Tap,R,92,8.1
166,the-look-of-silence,The Look of Silence,PG-13,92,8.3
167,tower,Tower,Not Rated,92,8.0
168,the-rider,The Rider,R,92,7.5
169,moolaade,Moolaadé,Unrated,91,8.0
170,atanarjuat-the-fast-runner,Atanarjuat: The Fast Runner,R,91,8.1
171,ikiru,Ikiru,Not Rated,91,tbd
172,time-2020,Time,PG-13,91,5.4
173,gavagai,Gavagai,Not Rated,91,6.0
174,the-man-who-would-be-king,The Man Who Would Be King,PG,91,6.9
175,the-killing,The Killing,TV-PG,91,7.4
176,swing-time,Swing Time,TV-G,91,tbd
